Designator,Mid X,Mid Y,Rotation,Layer
C1,21.00,24.75,270.00,T
C10,33.75,23.75,0.00,T
C11,22.00,14.50,90.00,T
C12,15.50,15.00,90.00,T
C13,24.25,25.25,180.00,T
C14,28.75,21.25,270.00,T
C15,44.00,8.00,0.00,T
C16,44.00,42.00,0.00,T
C2,20.00,24.75,270.00,T
C3,18.50,19.00,270.00,T
C4,18.25,21.50,90.00,T
C5,26.25,20.50,270.00,T
C6,24.75,20.50,270.00,T
C7,33.75,24.75,0.00,T
C8,28.25,30.75,90.00,T
C9,29.75,21.25,270.00,T
D1,15.96,20.99,180.00,T
D2,15.00,40.00,180.00,T
D3,25.00,40.00,180.00,T
D4,35.00,40.00,180.00,T
D5,40.00,35.00,90.00,T
D6,40.00,25.00,90.00,T
D7,40.00,15.00,90.00,T
D8,35.00,10.00,0.00,T
F1,25.00,11.00,180.00,T
Q1,15.00,37.00,180.00,T
Q2,25.00,37.00,180.00,T
Q3,35.00,37.00,180.00,T
Q4,37.00,33.50,90.00,T
Q5,37.00,25.00,90.00,T
Q6,37.00,15.00,90.00,T
Q7,33.50,13.00,0.00,T
R1,18.50,37.00,90.00,T
R10,37.00,30.00,0.00,T
R11,37.50,37.00,270.00,T
R12,37.00,31.00,180.00,T
R13,37.00,21.50,0.00,T
R14,37.00,11.50,0.00,T
R15,37.00,22.50,180.00,T
R16,37.00,12.50,180.00,T
R17,30.00,13.00,270.00,T
R18,31.00,13.00,90.00,T
R19,19.25,21.50,270.00,T
R2,28.50,37.00,90.00,T
R20,26.75,14.50,270.00,T
R21,20.50,22.75,180.00,T
R22,25.75,14.50,90.00,T
R3,21.25,28.00,0.00,T
R4,17.50,37.00,270.00,T
R5,27.50,37.00,270.00,T
R6,24.25,27.75,180.00,T
R7,23.00,14.50,270.00,T
R8,24.00,14.50,270.00,T
R9,38.50,37.00,90.00,T
U1,21.75,20.50,180.00,T
U2,17.00,28.25,0.00,T
U3,29.00,26.00,270.00,T
U4,19.50,14.50,270.00,T
